Title,Year,Directors,Rating,WatchedDate,Review
Scarface,1932,"Howard Hawks,Richard Rosson",3.0,2023-08-11,"Mundi, portraying the narcissist Tony superbly. carries much of the quality of this film. It's a good film overall, but it's not as special as I hoped. Nice decoration and production, a clear message and entertaining storyline, just nothing really new when compared to similar films of the time. I can imagine gangster/maffia fans could really dig this one though."
Planet Terror,2007,Robert Rodriguez,2.0,2015-01-14,
Anchorman: The Legend of Ron Burgundy,2004,Adam McKay,2.0,2015-01-14,
2 or 3 Things I Know About Her,1967,Jean-Luc Godard,2.0,2013-11-04,
Bambi,1942,"David Hand,James Algar,Samuel Armstrong,Graham Heid,Bill Roberts,Paul Satterfield,Norman Wright",5.0,2013-11-04,
"Good Night, and Good Luck.",2005,George Clooney,2.0,2015-01-14,
John Nada - De hel breekt los,1988,John Carpenter,3.0,2015-01-14,
Deliverance,1972,John Boorman,5.0,2013-11-04,
Slacker,1990,Richard Linklater,4.0,2013-11-04,
Bad Lieutenant: Port of Call New Orleans,2009,Werner Herzog,3.0,2015-01-14,
Pink Flamingos,1972,John Waters,2.0,2013-11-04,
The Untouchables,1987,Brian De Palma,3.0,2013-11-04,
Infernal Affairs,2002,"Andrew Lau Wai-keung,Alan Mak",2.0,2015-01-14,
Collateral,2004,Michael Mann,1.0,2013-11-04,
Fantastic Planet,1973,René Laloux,4.0,2013-11-04,
Blazing Saddles,1974,Mel Brooks,1.0,2013-11-04,
Pink Floyd: The Wall,1982,Alan Parker,2.0,2015-01-14,
Lilya 4-ever,2002,Lukas Moodysson,4.0,2013-11-04,
Sideways,2004,Alexander Payne,4.0,2013-11-04,
M. Hulot's Holiday,1953,Jacques Tati,3.0,2015-01-14,
Monty Python's the Meaning of Life,1983,Terry Jones,2.0,2015-01-14,
Dumbo,1941,"Samuel Armstrong,Norman Ferguson,Wilfred Jackson,Jack Kinney,Bill Roberts,Ben Sharpsteen",3.0,2015-01-14,
The 39 Steps,1935,Alfred Hitchcock,2.0,2015-01-14,
Paprika,2006,Satoshi Kon,3.0,2013-11-05,
Rejected,2000,Don Hertzfeldt,3.0,2013-11-04,
Easy Rider,1969,Dennis Hopper,3.0,2013-11-04,
Love and Death,1975,Woody Allen,2.0,2013-11-04,
Eyes Without a Face,1960,Georges Franju,4.0,2013-11-04,
Me and You and Everyone We Know,2005,Miranda July,3.0,2013-11-04,
Bottle Rocket,1996,Wes Anderson,4.0,2013-11-04,
Kiki's vliegende koeriersdienst,1989,Hayao Miyazaki,2.0,2013-11-04,
Mouchette,1967,Robert Bresson,2.0,2024-11-21,"For some reason it seems Bresson portrays human characters and emotions in a way that simply doesn't appeal to me. Once again, with Mouchette, I didn't feel any empathy or connection, while the movie clearly tries to move you. Somehow, interactions between and responses of people in this film don't make sense to me, so all that's left for me to enjoy is the carefully crafted photography and the interesting theme."
Catch Me If You Can,2002,Steven Spielberg,2.0,2013-11-04,
High Fidelity,2000,Stephen Frears,3.0,2013-11-04,
The Sixth Sense,1999,M. Night Shyamalan,1.0,2013-11-05,
Jurassic Park,1993,Steven Spielberg,3.0,2013-11-04,
Mystic River,2003,Clint Eastwood,3.0,2013-11-04,
The Blues Brothers,1980,John Landis,3.0,2013-11-04,
Beauty and the Beast,1991,"Gary Trousdale,Kirk Wise",3.0,2013-11-04,
The Straight Story,1999,David Lynch,2.0,2015-01-14,
21 Grams,2003,Alejandro González Iñárritu,3.0,2013-11-04,
Castle in the Sky,1986,Hayao Miyazaki,3.0,2013-11-04,
Dead Ringers,1988,David Cronenberg,4.0,2013-11-04,
Good Will Hunting,1997,Gus Van Sant,2.0,2013-11-04,
Ponyo,2008,Hayao Miyazaki,3.0,2013-11-04,
Pinocchio,1940,"Ben Sharpsteen,Norman Ferguson,T. Hee,Wilfred Jackson,Jack Kinney,Hamilton Luske,Bill Roberts",2.0,2015-01-14,
Naked Lunch,1991,David Cronenberg,5.0,2013-11-04,
Weekend,1967,Jean-Luc Godard,2.0,2015-01-14,
Hero,2002,Zhang Yimou,2.0,2015-01-14,
The City of Lost Children,1995,"Marc Caro,Jean-Pierre Jeunet",1.0,2013-11-04,
Nausicaä of the Valley of the Wind,1984,Hayao Miyazaki,5.0,2013-11-04,
Waking Life,2001,Richard Linklater,4.0,2013-11-04,
Control,2007,Anton Corbijn,4.0,2013-11-21,
Mary & Max,2009,Adam Elliot,4.0,2013-11-04,
Juno,2007,Jason Reitman,2.0,2015-01-14,
Who Framed Roger Rabbit?,1988,Robert Zemeckis,2.0,2013-11-04,
Million Dollar Baby,2004,Clint Eastwood,1.0,2013-11-04,
Ordet,1955,Carl Theodor Dreyer,5.0,2013-11-04,
3-Iron,2004,Kim Ki-duk,2.0,2013-11-04,
Ghost World,2001,Terry Zwigoff,4.0,2013-11-04,
Natural Born Killers,1994,Oliver Stone,2.0,2015-01-14,
"Salò, or the 120 Days of Sodom",1975,Pier Paolo Pasolini,2.0,2013-11-04,
Happiness,1998,Todd Solondz,3.0,2013-11-04,
To Kill a Mockingbird,1962,Robert Mulligan,5.0,2013-11-04,
Django Unchained,2012,Quentin Tarantino,4.0,2013-11-04,
Ghost in the Shell,1995,Mamoru Oshii,3.0,2013-11-04,
Alphaville,1965,Jean-Luc Godard,2.0,2013-11-04,
Dood vóór de dageraad,1987,Sam Raimi,3.0,2015-01-14,
The Virgin Spring,1960,Ingmar Bergman,3.0,2013-11-04,
Freaks,1932,Tod Browning,3.0,2013-11-04,
Rope,1948,Alfred Hitchcock,4.0,2013-11-04,
Scott Pilgrim vs. the World,2010,Edgar Wright,3.0,2013-11-04,
Slumdog Millionaire - Drengen der havde svar på alt,2008,Danny Boyle,2.0,2013-11-04,
The Fountain,2006,Darren Aronofsky,3.0,2013-11-04,
Suspiria,1977,Dario Argento,3.0,2015-01-14,
American Psycho,2000,Mary Harron,2.0,2013-11-04,
The Breakfast Club,1985,John Hughes,4.0,2013-11-04,
Pi (1998),1998,Darren Aronofsky,4.0,2019-02-17,
Ferris Bueller's Day Off,1986,John Hughes,4.0,2013-11-04,
Dazed and Confused,1993,Richard Linklater,3.0,2013-11-04,
A Separation,2011,Asghar Farhadi,4.0,2013-11-04,
Au hasard Balthazar,1966,Robert Bresson,2.0,2015-01-14,
L'eclisse,1962,Michelangelo Antonioni,4.0,2013-11-04,
4 maanden,2007,Cristian Mungiu,3.0,2013-11-04,
The Virgin Suicides,1999,Sofia Coppola,2.0,2015-01-14,
Naked,1993,Mike Leigh,3.0,2013-11-04,
"Crouching Tiger, Hidden Dragon",2000,Ang Lee,2.0,2013-11-04,
Moonrise Kingdom,2012,Wes Anderson,3.0,2015-01-14,
The Kid,1921,Charlie Chaplin,3.0,2015-01-14,
Lolita,1962,Stanley Kubrick,2.0,2013-11-04,
E.T.: The Extra-Terrestrial,1982,Steven Spielberg,2.0,2015-01-14,
Playtime,1967,Jacques Tati,4.0,2013-11-04,
Sin City,2005,"Frank Miller,Robert Rodriguez,Quentin Tarantino",2.0,2015-01-14,
The Gold Rush,1925,Charlie Chaplin,3.0,2013-11-04,
The Exorcist,1973,William Friedkin,1.0,2013-11-05,
The Darjeeling Limited,2007,Wes Anderson,2.0,2015-01-14,
Moon,2009,Duncan Jones,4.0,2013-11-04,
Irreversible,2002,Gaspar Noé,3.0,2013-11-04,
Star Wars: Episode VI - Return of the Jedi ,1983,Richard Marquand,4.0,2013-11-04,
Jackie Brown,1997,Quentin Tarantino,3.0,2013-11-04,
Finding Nemo,2003,"Andrew Stanton,Lee Unkrich",2.0,2013-11-04,
The Thing,1982,John Carpenter,3.0,2013-11-04,
Akira,1988,Katsuhiro Ôtomo,5.0,2013-11-04,
Scarface,1983,Brian De Palma,3.0,2013-11-04,
Persepolis,2007,"Marjane Satrapi,Vincent Paronnaud",2.0,2013-11-04,
The Social Network,2010,David Fincher,3.0,2013-11-04,
Sunrise: A Song of Two Humans,1927,F.W. Murnau,4.0,2013-11-04,
Contempt,1963,Jean-Luc Godard,5.0,2013-11-04,
Videodrome,1983,David Cronenberg,4.0,2013-11-04,
Amores perros,2000,Alejandro González Iñárritu,4.0,2013-11-04,
The Double Life of Véronique,1991,Krzysztof Kieślowski,5.0,2013-11-04,
Saving Private Ryan,1998,Steven Spielberg,1.0,2013-11-04,
Night of the Living Dead,1968,George A. Romero,4.0,2013-11-04,
Barton Fink,1991,"Joel Coen,Ethan Coen",3.0,2013-11-04,
Drive,2011,Nicolas Winding Refn,4.0,2021-08-12,
The Diving Bell and the Butterfly,2007,Julian Schnabel,3.0,2013-11-04,
Howl's Moving Castle,2004,Hayao Miyazaki,2.0,2013-11-04,
Badlands,1973,Terrence Malick,2.0,2013-11-21,
Punch-Drunk Love,2002,Paul Thomas Anderson,2.0,2013-11-04,
Grave of the Fireflies,1988,Isao Takahata,4.0,2013-11-04,
Fantastic Mr. Fox,2009,Wes Anderson,4.0,2013-11-04,
The Deer Hunter,1978,Michael Cimino,5.0,2013-11-04,
Andrei Rublev,1966,Andrei Tarkovsky,3.0,2019-05-26,
Once Upon a Time in America,1984,Sergio Leone,4.0,2013-11-04,
American History X,1998,Tony Kaye,3.0,2013-11-04,
Do the Right Thing,1989,Spike Lee,4.0,2013-11-04,
Harold and Maude,1971,Hal Ashby,3.0,2013-11-04,
Aliens,1986,James Cameron,3.0,2015-01-14,
De vogels,1963,Alfred Hitchcock,3.0,2013-11-04,
Adaptation.,2002,Spike Jonze,4.0,2013-11-04,
"Aguirre, the Wrath of God",1972,Werner Herzog,3.0,2014-02-27,
Days of Heaven,1978,Terrence Malick,3.0,2013-11-04,
Lawrence of Arabia,1962,David Lean,5.0,2014-10-01,
"Paris, Texas",1984,Wim Wenders,4.0,2013-11-04,
Monty Python's Life of Brian,1979,Terry Jones,3.0,2015-01-14,
The Great Dictator,1940,Charlie Chaplin,2.0,2013-11-05,
The Elephant Man,1980,David Lynch,4.0,2013-11-04,
The Pianist,2002,Roman Polanski,2.0,2015-01-14,
Boogie Nights,1997,Paul Thomas Anderson,3.0,2013-11-04,
Amadeus,1984,Miloš Forman,2.0,2019-03-16,
Dancer in the Dark,2000,Lars von Trier,3.0,2013-11-04,
Eyes Wide Shut,1999,Stanley Kubrick,3.0,2013-11-04,
Das Leben der Anderen,2006,Florian Henckel von Donnersmarck,3.0,2013-11-04,
Eraserhead,1977,David Lynch,4.0,2013-11-04,
Solaris,1972,Andrei Tarkovsky,5.0,2013-11-04,
Barry Lyndon,1975,Stanley Kubrick,4.0,2014-01-20,
Dogville,2003,Lars von Trier,3.0,2013-11-04,
Chungking Express,1994,Wong Kar Wai,4.0,2013-11-04,
La jetée,1962,Chris Marker,3.0,2014-01-24,
The Lord of the Rings: The Two Towers,2002,Peter Jackson,1.0,2013-11-04,
Toy Story,1995,John Lasseter,3.0,2013-11-04,
Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner,4.0,2013-11-04,
City Lights,1931,Charlie Chaplin,4.0,2013-11-04,
Rosemary's Baby,1968,Roman Polanski,4.0,2013-11-04,
Children of Men,2006,Alfonso Cuarón,4.0,2013-11-04,
Donnie Darko,2001,Richard Kelly,4.0,2013-11-04,
Princess Mononoke,1997,Hayao Miyazaki,4.0,2019-11-19,
My Neighbour Totoro,1988,Hayao Miyazaki,3.0,2015-01-14,
The Graduate,1967,Mike Nichols,3.0,2015-01-14,
Kill Bill 2,2004,Quentin Tarantino,2.0,2013-11-04,
Modern Times,1936,Charlie Chaplin,4.0,2013-11-04,
Inception,2010,Christopher Nolan,2.0,2013-11-04,
Magnolia,1999,Paul Thomas Anderson,4.0,2015-01-14,
Being John Malkovich,1999,Spike Jonze,3.0,2013-11-04,
The Lord of the Rings: The Return of the King,2003,Peter Jackson,1.0,2013-11-04,
The Matrix,1999,"Lilly Wachowski,Lana Wachowski",2.0,2013-11-28,
Brazil,1985,Terry Gilliam,4.0,2013-11-04,
Léon: The Professional,1994,Luc Besson,2.0,2015-01-14,
12 Angry Men,1957,Sidney Lumet,4.0,2013-11-04,
Manhattan,1979,Woody Allen,3.0,2015-01-14,
Rashomon,1950,Akira Kurosawa,2.0,2013-11-04,
Schindler's List,1993,Steven Spielberg,3.0,2013-11-04,
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,3.0,2013-11-04,
Stalker,1979,Andrei Tarkovsky,5.0,2019-01-24,"I just saw this film for the second time, this time in the cinema: the brilliant photography was even more breath taking on a big screen! Being a particular fan of philosophical themes, this movie certainly is one of my favorites. I also love the absurdity and abstractness in which the existential confrontation is presented. It's an absolute masterpiece."
De schreeuw van het lam,1991,Jonathan Demme,2.0,2015-01-14,
Requiem for a Dream,2000,Darren Aronofsky,4.0,2013-11-04,
Monty Python and the Holy Grail,1975,"Terry Gilliam,Terry Jones",5.0,2013-11-04,
Trainspotting,1996,Danny Boyle,4.0,2013-11-04,
Memento,2000,Christopher Nolan,3.0,2015-01-14,
Liefde zonder uitzicht,1960,Jean-Luc Godard,3.0,2013-11-04,
American Beauty,1999,Sam Mendes,4.0,2013-11-04,
Persona,1966,Ingmar Bergman,5.0,2013-11-04,
The Royal Tenenbaums,2001,Wes Anderson,1.0,2015-01-14,
Seven,1995,David Fincher,2.0,2015-01-14,
WALL•E,2008,Andrew Stanton,2.0,2015-01-14,
Old Boy,2003,Park Chan-wook,2.0,2015-01-14,
Blue Velvet,1986,David Lynch,3.0,2013-11-04,
Kill Bill,2003,Quentin Tarantino,2.0,2015-01-14,
In the Mood for Love,2000,Wong Kar Wai,5.0,2013-11-04,
Full Metal Jacket,1987,Stanley Kubrick,3.0,2013-11-04,
Lost in Translation,2003,Sofia Coppola,5.0,2013-11-04,
Alien,1979,Ridley Scott,4.0,2015-01-14,
City of God,2002,"Fernando Meirelles,Kátia Lund",4.0,2013-11-04,
Star Wars: Episode IV - A New Hope,1977,George Lucas,4.0,2013-11-04,
The 400 Blows,1959,François Truffaut,4.0,2013-11-04,
Reservoir Dogs,1992,Quentin Tarantino,4.0,2013-11-04,
Fargo,1996,Joel Coen,4.0,2013-11-04,
Goodfellas,1990,Martin Scorsese,3.0,2013-11-04,
8½ (1963),1963,Federico Fellini,5.0,2013-11-04,
Mulholland Drive,2001,David Lynch,3.0,2015-01-14,
Amélie,2001,Jean-Pierre Jeunet,4.0,2013-11-05,
One Flew Over the Cuckoo's Nest,1975,Miloš Forman,4.0,2013-11-04,
De zeven samoerai,1954,Akira Kurosawa,5.0,2013-11-04,
Spirited Away,2001,Hayao Miyazaki,5.0,2013-11-04,
De man aan het venster,1954,Alfred Hitchcock,4.0,2013-11-04,
Vertigo,1958,Alfred Hitchcock,3.0,2013-11-04,
The Big Lebowski,1998,Joel Coen,4.0,2013-11-04,
