Title,Year,Directors,Rating,WatchedDate,Review
Isle of Dogs,2018,Wes Anderson,4.0,2020-03-28,"The theatrical style Anderson has developed over the years is not entirely my cup of tea, but for some reason I love it in his animated films. ""Fantastic Mr. Fox"" was incredible, and this film too was great. The animations are beautiful, the story is touching and inventive, the characters loveable. Suited for children too I would suppose."
Chicken Run,2000,"Peter Lord,Nick Park",2.0,2020-03-28,"Sadly I'm not a child anymore, because I'm sure this would've been a lot more enjoyable then. It's a fun watch nonetheless. I like the Aardman stop-motion style, and had some good laughs. I also appreciate the animal-friendly perspective of the film. It was fun."
The Game,1997,David Fincher,3.0,2020-02-19,"The film has an entertaining suspense to it, and the increasing paranoia and insanity is enjoyable. I think Douglas acts well and the production of the film is solid. I do think it's all a bit too incredulous for my taste in the end, but it's definitely a nice movie."
Nazarin,1959,Luis Buñuel,4.0,2020-07-26,"Through the lense of cynical, dark, but subtle comedy Buñuel manages to make us laugh at his portrayal of humanity, which, sadly, is a vivid reflection of reality. The well-tempered Nazarin who lives nobly following his own interpretation of Christ, is universally misunderstood. The poor glorify him as a new prophet; the powerful fear and loath his unorthodoxy and vigilance. In this world, being good is hard."
Inglourious Basterds,2009,Quentin Tarantino,4.0,2020-01-08,"I postponed watching this for years, fearing I would dislike cheap action and annoyingly exaggerated characters. Instead I found myself pleasantly surprised. This is clearly a Tarantino film in spirit, and the idea of altering history in a way where the Nazis are depicted as ridiculously evil idiots, who are butchered to death this way is very clever and entertaining. I won't forget Hitler's disfigured corpse soon."
"Nosferatu, eine Symphonie des Grauens",1922,F.W. Murnau,2.0,2020-01-08,"I have great respect for Murnau and have really enjoyed ""Sunrise"" and ""City Girl"" before this one. ""Nosferatu"" certainly is a well-crafted film too, but I think the silent genre does not combine well with the horror for me. Although the usual tension and fear that comes with horror films weren't absent here, I felt they were far less intense. I respect and enjoyed this, but its dated resources limited the experience."
Waltz with Bashir,2008,Ari Folman,4.0,2021-11-30,"Wonderful biography and history lesson reminding us that the cruel side of humanity is no thing of the distant past. The animations are nice and fresh, and the Max Richter soundtrack incredible. The ending of this film is one I won't soon forget: what an amazing release of emotional tension. Great film, although ""The Congress"" remains my favorite by Folman."
Once Upon a Time... in Hollywood,2019,Quentin Tarantino,5.0,2020-06-05,"The adventure of life in which so much happens without immediate purpose, but in an incredible style that I could watch forever. Superb acting, lots of tongue-in-cheek and meta-level ideas, fitting music and beautiful long shots: wow! The most mature Tarantino I've seen, with a very enjoyable scene (out of the blue) of extreme violence concentrated in a fraction of the film. Everything was just right, incredible."
A.I. Artificial Intelligence,2001,Steven Spielberg,4.0,2023-02-27,"I'm usually put off by Spielberg's tendency towards sentimentality, but this lovely adventure truly moved me. Ethically this film is interesting in many ways: the little understood sentience of (some classes of) androids -which parallells the present-day situation of non-human animals- and the horrible state the environment is in. I would have preferred this film less mainstream, but it's really good nonetheless."
Barefoot Gen,1983,Mori Masaki,4.0,2019-09-22,"Not sure whether to call it a children's movie or an adult traumatic drama, which demonstrates what an interesting mix this is. It's a very passionate memorial to the horrific bombings during WWII, and it provoked many emotions in me. The style is alternately delightful and dark, the message admirably optimistic: whatever happens, life goes on, and it's never worth giving up. Great film."
Midsommar,2019,Ari Aster,4.0,2024-12-09,"How does one ridicule a culture borrowing constituents from several traditions, religions and ideologies, while simultaneously praise its sense of worth and community and defend its right to exist? Ari Aster does it his -unique- way, combining traumatic horror and humor in the form of both mockery and random insanity. The experience is, just like Hereditary was, an amazing trip which I highly recommend. I'm a fan."
Rocko's Modern Life: Static Cling,2019,"Joe Murray,Cosmo Segurson,Mr. Lawrence",4.0,2024-06-20,"Meet the 21st century through the eyes of 90s icon Rocko; such a clever script. I'm a fan of the show and I really enjoyed this comeback episode. It felt true to the original vibe, even the animation style was kept intact. There was only a slight cringe in regards to it being a comeback episode, which deserves praise too. Finally I want to add that I found it really cool they chose to go with Rachel's story!"
Pan's Labyrinth,2006,Guillermo del Toro,3.0,2019-08-13,"Wow, at times this was so dark the evil thrill went straight through my bones. I'm not a big fan of fairy tale lore, but I really liked the rendition in this film. I like how the promised kingdom is not shown, and how that entire world is really quite vague. It may not be entirely my cup of tea still, but this is a good film."
"Sex, Lies, and Videotape",1989,Steven Soderbergh,3.0,2019-07-22,"Great script creatively managing to make everying revolve around Graham's videotapes, with a touching climax involving Graham himself. I like how the otherwise realistic acting comes across a bit goofy in the context of this 80s/90s style. Very interesting and entertaining watch."
Triple Frontier,2019,J.C. Chandor,2.0,2019-07-08,"This was a surprisingly fun movie to watch. I'm not at all one to enjoy explosions and fast-paced action, but that was actually fairly limited in this film. Also, it had much more substance than that. The dark comedy revolving around the extreme amount of money that pretty much gets everyone to behave ridiculously is really nice. Ultimately though it's still quite formulaic and plain, but I liked it."
Roma,2018,Alfonso Cuarón,5.0,2020-06-30,"I love how this film succeeds in making you feel like an observer, both of a piece of history as of an intense, hard life of a working class woman. The acting and photography are amazing and greatly aid in the immersive effect. Everything's just so subtle. I particularly thought the baby scene and beach scene were incredible. Wonderful film adhering to a more classic style. I'm surprised this is a Netflix production."
Behind the Curve,2018,Daniel J. Clark,3.0,2019-09-30,"It's hard not to ridicule a conspiracy theory as extreme as this one, but it's important not to engage in such ridicule. What I think the documentary did a very good job at is to highlight the religious aspect of it. I actually felt some jealousy when I saw their community, and the purpose they felt. And I have to note: it's funny how unfalsifiability is an important protector of religion."
The Ritual,2017,David Bruckner,2.0,2020-01-04,"I did not have high expectations, but was quite surprised by the rather emotionally intense opening scene. The film continued to do a good job by keeping up a dark, mysterious atmosphere, where I truly found myself captivated by curiosity. The beautiful forests, the clean style of filming, and the skillful blend of reality and nightmares were all nice. Sadly though, it ultimately turned incredibly cliche."
The Favourite,2018,Yorgos Lanthimos,5.0,2022-01-26,"This film is so beautiful. All of its exterior qualities cooperate seamlessly to achieve that sense of mastery only great films have. Particularly the audiovisual way of storytelling by using crossfades and minimalist baroque music I found lovely. The cynical portrayal of those times make it a great dark comedy. Remarkably, the film has a quite accessible storyline, which debouches into a subtle and great ending."
Paths of Glory,1957,Stanley Kubrick,5.0,2020-06-30,"I love how this film is deeply -and in a typical Kubrick sense- comical in the most dark, subtle way, all the while serving the function of mocking the absurdity of the concept of war to begin with: it's fundamentally cynical. But there's plenty of more serious scenes as well, such as the singing German lady, the prison visits and the trial. This perfect mixture of serious and comical has left me in awe!"
What Dreams May Come,1998,Vincent Ward,2.0,2022-07-19,"If you prepare yourself for Hollywood mediocrity this is an enjoyable film. It has lots and lots of sentimental cliches and problems of other sorts, but it does have some quality to it. Especially the heavens and hells are pretty interesting, the visuals in particular."
L'âge d'or,1930,Luis Buñuel,4.0,2025-06-28,"Wonderfully experimental, and at times I had to laugh out loud at the beautiful humor in this film. Buñuel proofs again that he's an extremely progressive filmmaker. The acting is really good and funny as well. I'm not entirely sure about the beginning of the film I must say though, where I might have gotten the wrong impression regarding what kind of film this was going to be. All in all a very nice film."
De paardenbloem,1985,Jûzô Itami,5.0,2025-09-05,"This is the masterpiece film that makes you laugh about, mindfully enjoy the desire of and feel weirdly erotically about food. It's incredibly virtuoso in so many ways. Somehow a film can borrow from westerns, be feel-good and funny in silly ways and still only be about the simple quest of perfecting ramen. And to emphasize: mindfulness is a big part of the viewing experience, but in a playful, ambiguous sense."
The Cure,1917,Charlie Chaplin,3.0,2018-10-12,Charlie Chaplin portraying an alcoholic? There was just no way this wasn't going to be fun!
Shadows of Forgotten Ancestors,1965,Sergei Parajanov,4.0,2022-11-05,"Very unique film, throwing all kinds of qualities in the mix, visually, stylistically and emotionally. The story is incredibly heartbreaking. Their exceptional love suddenly gone, and how Ivan never really regains spirit, was so well entrenched in the viewing experience. Anthropologically this film is a very interesting watch as well, although I wouldn't know to what extent it's accurately realistic. Loved it."
